id,name,fullname,internal,marketcap
1182,BTC,Bitcoin,BTC,377671875326.01
7605,ETH,Ethereum,ETH,190701452912.2801
171986,USDT,Tether,USDT,67550404103.524704
925809,USDC,USD Coin,USDC,51877542532.77898
204788,BNB,Binance Coin,BNB,44927292339.1908
5031,XRP,XRP,XRP,32586519036.3539
932135,BUSD,BUSD,BUSD,19433224185.53
934443,SOL,Solana,SOL,16669255739.818266
321992,ADA,Cardano,ADA,16359986029.62865
935731,DOT,Polkadot,DOT,9163779527.663275
930246,MATIC,Polygon,MATIC,8774000000.0
4432,DOGE,Dogecoin,DOGE,8419320726.742865
931676,FTT,FTX Token,FTT,8201094853.941104
935805,AVAX,Avalanche,AVAX,7657080836.664585
940776,SHIB,Shiba Inu,SHIB,7317687305.51984
309621,LINK,Chainlink,LINK,7198000000.0
932637,DAI,Dai,DAI,6448869989.684361
310829,TRX,TRON,TRX,6406478725.415243
936630,UNI,Uniswap Protocol Token,UNI,6322000000.0
4614,XLM,Stellar,XLM,5210186268.664318
948958,OP,Optimism,OP,4900557684.736
928761,WBTC,Wrapped Bitcoin,WBTC,4893142791.651338
930571,LEO,LEO Token,LEO,4830193786.239904
947197,APE,ApeCoin,APE,4697000000.0
3808,LTC,Litecoin,LTC,4250274052.9469175
937105,NEAR,Near,NEAR,4213000000.0
947549,GMT,STEPN,GMT,3939986223.911399
925144,OKB,OKX,OKB,3924785213.4204044
199107,ATOM,Cosmos,ATOM,3875393413.9699883
937569,AXS,Axie Infinity Shards,AXS,3804300000.0
929418,CRO,Cronos,CRO,3580114519.7636
928790,QNT,Quant,QNT,3349295862.7297673
941276,ICP,Internet Computer,ICP,3177338480.8408704
936179,SAND,The Sandbox,SAND,2850000000.0
5038,XMR,Monero,XMR,2852729829.7288404
932843,KLAY,Klaytn,KLAY,2489950704.84621
202330,BCH,Bitcoin Cash,BCH,2246534475.135423
930992,ALGO,Algorand,ALGO,2191984525.220224
236131,VET,VeChain,VET,2089436500.6011
938812,FLOW,Flow - Dapper Labs,FLOW,1945983600.0
936137,CRV,Curve DAO Token,CRV,1931514854.1935034
938419,LDO,Lido DAO,LDO,1931242860.0
936750,GALA,Gala,GALA,1910766062.592919
948819,LUNA,Terra,LUNA,1850232932.5108192
931799,CHZ,Chiliz,CHZ,1831111110.928
931668,LUNC,Terra Classic,LUNC,1814320001.9780707
199148,MANA,Decentraland,MANA,1727420725.264615
213663,FIL,FileCoin,FIL,1678650458.6820002
943027,BIT,BitDAO,BIT,1653150955.3462784
944525,IMX,Immutable X,IMX,1652800000.0
66193,GNO,Gnosis,GNO,1547490240.0
943395,DYDX,dYdX,DYDX,1545000000.0
166503,EOS,EOS,EOS,1540257642.2822883
938352,FRAX,Frax,FRAX,1469174384.6034575
166390,XTZ,Tezos,XTZ,1412592684.0581033
932121,HBAR,Hedera Hashgraph,HBAR,1404966975.9059756
348628,KCS,KuCoin Token,KCS,1347934073.78607
944364,ENS,Ethereum Name Service,ENS,1330000000.0
945800,AURORA,Aurora,AURORA,1303666929.0
933597,PCI,PayProtocol Paycoin,PCI,1251097352.4483
936373,EGLD,Elrond,EGLD,1235191812.76451
844139,TUSD,True USD,TUSD,1210940452.2279835
714811,THETA,Theta,THETA,1162890325.8
938098,GRT,The Graph,GRT,1065971915.0883032
935924,DFI,DeFiChain,DFI,1060723679.502013
877073,NEXO,NEXO,NEXO,1030501556.0999999
936865,TITAN,TitanSwap,TITAN,1500866424.9
926591,BSV,Bitcoin SV,BSV,1002215780.5234439
799472,CEL,Celsius Network,CEL,997564955.755824
933001,XDC,Xinfin Network,XDC,981095726.8432796
938199,1INCH,1inch,1INCH,989250000.0
933138,CUSDC,Compound USD Coin,CUSDC,0.0
771595,HT,Huobi Token,HT,960869694.3506486
934995,TWT,Trust Wallet Token,TWT,964053424.740543
932760,RUNE,Thorchain,RUNE,944675751.5999999
27368,NEO,NEO,NEO,920605066.2
941178,XCH,Chia,XCH,918696064.4109839
816635,SNX,Synthetix,SNX,868024301.1509494
935634,CELO,Celo,CELO,823000000.0
937688,XEC,eCash,XEC,814587604.4475093
24854,ZEC,ZCash,ZEC,802236929.6911272
127356,MIOTA,IOTA,MIOTA,791894322.6913843
41192,MKR,Maker,MKR,728403556.7009982
928158,FTM,Fantom,FTM,725759621.2380711
943104,XRD,Radix,XRD,695743855.9293431
933146,CDAI,Compound Dai,CDAI,0.0
943937,BLOK,Bloktopia,BLOK,661427279.9999999
932902,USDN,Neutrino USD,USDN,271656046.8419001
931795,GT,Gatechain Token,GT,652070287.3621967
935292,AR,Arweave,AR,645807263.6610816
944530,MC,Merit Circle,MC,646024600.7273445
937509,ROSE,Oasis Labs,ROSE,630200000.0000001
940786,MINA,Mina Protocol,MINA,628795606.4501299
930621,RSR,Reserve Rights,RSR,622999999.9999999
937212,NU,NuCypher,NU,617388483.9897968
938354,FXS,Frax Share,FXS,612605865.3219042
947592,STG,Stargate Finance,STG,607200000.0
936528,AMP,Amp,AMP,600646366.9942981
716725,ZIL,Zilliqa,ZIL,590866443.8873166
936880,CAKE,PancakeSwap,CAKE,570446554.74177
